idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15;;;
"11023,Almeria,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Dark rum,Kahlua,Egg white,,,,,,,,,,,";;;
;;;
"11024,Almond Joy,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,";;;
;;;
"11025,Amaretto And Cream,Ordinary Drink,Alcoholic,""Shake well with cracked ice, strain contents into a cocktail glass, and serve."",,Amaretto,Light cream,,,,,,,,,,,,";;;
;;;
"11026,Amaretto Mist,Ordinary Drink,Alcoholic,""Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"",,Amaretto,Lime,,,,,,,,,,,,";;;
;;;
11027,Amaretto Rose,Ordinary Drink,Alcoholic,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,,Amaretto,Lime juice,Club soda,,,,,,,,,,,;;;
;;;
"11028,Amaretto Stinger,Ordinary Drink,Alcoholic,""Shake ingredients well with cracked ice, strain into a cocktail glass, and serve."",,Amaretto,White Creme de Menthe,,,,,,,,,,,,";;;
;;;
"11029,Amaretto Tea,Ordinary Drink,Alcoholic,""Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve."",,Tea,Amaretto,Whipped cream,,,,,,,,,,,";;;
;;;
"11030,Ambrosia,Ordinary Drink,Alcoholic,""Combine and shake all ingredients (except champagne). Pour contents into a highball glass over ice cubes. Fill with chilled champagne, stir lightly, and serve."",,Applejack,Brandy,Triple sec,Lemon,Champagne,,,,,,,,,";;;
;;;
"11032,American Beauty,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine the brandy, vermouth, creme de menthe, orange juice, and grenadine. Shake well. Strain into a cocktail glass. Pouring slowly and carefully, float the port on top."",,Brandy,Dry Vermouth,White Creme de Menthe,Orange juice,Grenadine,Tawny port,,,,,,,,";;;
;;;
"11033,Andalusia,Ordinary Drink,Alcoholic,""Stir all ingredients well with cracked ice, strain contents into a cocktail glass, and serve."",,Light rum,Sherry,Brandy,,,,,,,,,,,";;;
;;;
"11034,Angel Face,Ordinary Drink,Alcoholic,""Stir all ingredients well with cracked ice, strain into a cocktail glass, and serve."",,Apricot brandy,Apple brandy,Gin,,,,,,,,,,,";;;
;;;
"11035,Angel's Kiss,Ordinary Drink,Alcoholic,""Pour ingredients carefully, in order given, into a pousse-cafe glass so that they do not mix."",,Creme de Cacao,Sloe gin,Brandy,Light cream,,,,,,,,,,";;;
;;;
"11036,Angel's Wing,Ordinary Drink,Alcoholic,""Pour ingredients carefully, in order given, into a pousse-cafe glass so that they do not mix. Serve without mixing."",,Creme de Cacao,Brandy,Light cream,,,,,,,,,,,";;;
;;;
"11037,Angler's Cocktail,Ordinary Drink,Alcoholic,""Shake all ingredients with cracked ice, pour contents into an old-fashioned glass over ice cubes, and serve."",,Gin,Grenadine,Bitters,Orange bitters,,,,,,,,,,";;;
;;;
"11038,Ante,Ordinary Drink,Alcoholic,""Stir all ingredients well with cracked ice, strain contents into a cocktail glass, and serve."",,Apple brandy,Triple sec,Dubonnet Rouge,,,,,,,,,,,";;;
;;;
11039,Antoine Special,Ordinary Drink,Alcoholic,Float vermouth on top of chilled Dubonnet in a red wine glass and serve.,,Dubonnet Blanc,Dry Vermouth,,,,,,,,,,,,;;;
;;;
"11040,Apple Blow Fizz,Ordinary Drink,Alcoholic,""Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."",,Apple brandy,Lemon,Powdered sugar,Egg white,Carbonated water,,,,,,,,,";;;
;;;
"11041,Apple Brandy Highball,Ordinary Drink,Alcoholic,""Pour apple brandy over ice cubes in a highball glass. Fill with carbonated water and stir. Add a twist of lemon peel on top and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"",,Apple brandy,Carbonated water,Lemon peel,,,,,,,,,,,";;;
;;;
"11042,Apple Brandy Sour,Ordinary Drink,Alcoholic,""Shake apple brandy, powdered sugar, and juice of lemon with ice and strain into a whiskey sour glass. Decorate with a half-slice of lemon, top with the cherry, and serve."",,Apple brandy,Powdered sugar,Lemon,Lemon,Cherry,,,,,,,,,";;;
;;;
"11043,Apple Colada,Ordinary Drink,Alcoholic,""Blend schnapps, cream of coconut, half-and-half, and 2 cups of crushed ice in an electric blender at a high speed. Pour contents into a collins glass. Decorate with an apple slice and a cherry. Serve with a straw."",,Apple schnapps,Cream of coconut,Half-and-half,Apple,Cherry,,,,,,,,,";;;
;;;
"11044,Apple Pie,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Light rum,Sweet Vermouth,Applejack,Lemon juice,Grenadine,,,,,,,,,";;;
;;;
11045,Apple Rum Rickey,Ordinary Drink,Alcoholic,Pour applejack and rum into a highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop in glass. Stir and serve.,,Light rum,Applejack,Lime,Carbonated water,,,,,,,,,,;;;
;;;
"11046,Applecar,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Applejack,Triple sec,Lemon juice,,,,,,,,,,,";;;
;;;
"11047,Appled Rum Cooler,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine the rum, applejack, and lime juice. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Top with the club soda."",,Añejo rum,Applejack,Lime juice,Club soda,,,,,,,,,,";;;
;;;
"11048,Apricot Anise Collins,Ordinary Drink,Alcoholic,""Shake gin, brandy, anisette, and lemon juice with ice and strain into a collins glass over ice cubes. Fill with carbonated water and stir lightly. Decorate with the slice of lemon and serve."",,Apricot brandy,Gin,Anisette,Lemon juice,Carbonated water,Lemon,,,,,,,,";;;
;;;
"11049,Apricot Cocktail,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Gin,Apricot brandy,Lemon,Orange,,,,,,,,,,";;;
;;;
"11050,Apricot Lady,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice."",,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,,,,,,";;;
;;;
"11051,Arcadia,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Gin,Galliano,Creme de Banane,Grapefruit juice,,,,,,,,,,";;;
;;;
"11052,Archbishop,Ordinary Drink,Alcoholic,""In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."",http://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg,Gin,Wine,Benedictine,Lime,,,,,,,,,,";;;
;;;
11053,Arise My Love,Ordinary Drink,Alcoholic,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,http://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,Champagne,Green Creme de Menthe,,,,,,,,,,,,;;;
;;;
"11054,Arthur Tompkins,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist."",,Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,,,,,,";;;
;;;
"11055,Artillery,Ordinary Drink,Alcoholic,""Stir all ingredients with ice, strain into a cocktail glass, and serve."",,Sweet Vermouth,Gin,Bitters,,,,,,,,,,,";;;
;;;
11056,B And B,Ordinary Drink,Alcoholic,Float brandy on top of Benedictine in a cordial glass without mixing and serve.,,Brandy,Benedictine,,,,,,,,,,,,;;;
;;;
"11057,Babbie's Special Cocktail,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Apricot brandy,Gin,Light cream,,,,,,,,,,,";;;
;;;
"11058,Bacardi Cocktail,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,,,,,,";;;
;;;
11059,Bahama Mama,Ordinary Drink,Alcoholic,Combine all ingredients and pour over cracked ice in a collins glass. Decorate with a strawberry or cherry and serve.,,Coffee liqueur,Dark rum,Coconut liqueur,151 proof rum,Lemon,Pineapple juice,,,,,,,,;;;
;;;
"11060,Balmoral,Ordinary Drink,Alcoholic,""In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."",http://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,,,,";;;
;;;
"11061,Baltimore Bracer,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Brandy,Anisette,Egg white,,,,,,,,,,,";;;
;;;
11062,Baltimore Eggnog,Ordinary Drink,Alcoholic,Shake all ingredients well with cracked ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,,Rum,Brandy,Madeira,Egg,Powdered sugar,Milk,,,,,,,,;;;
;;;
"11063,Banana Cow,Ordinary Drink,Alcoholic,""Shake rum, creme de banana, cream, and grenadine with crushed ice and strain into a cocktail glass. Decorate with the banana slice, sprinkle nutmeg on top, and serve."",,Light rum,Creme de Banane,Cream,Grenadine,Banana,Nutmeg,,,,,,,,";;;
;;;
"11064,Banana Daiquiri,Ordinary Drink,Alcoholic,""Combine all ingredients (except for the cherry) with 1 cup crushed ice in an electric blender. Blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."",,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,,,,,,";;;
;;;
"11065,Banana Punch #1,Ordinary Drink,Alcoholic,""Pour brandy, vodka, and juice of lime into a collins glass over crushed ice. Fill with carbonated water and stir. Decorate with banana slices and mint sprigs and serve."",http://www.thecocktaildb.com/images/media/drink/rsvpsx1468875090.jpg,Apricot brandy,Vodka,Lime,Banana,Carbonated water,Mint,,,,,,,,";;;
;;;
"11066,Banana Rum Cream,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Dark rum,Creme de Banane,Light cream,,,,,,,,,,,";;;
;;;
"11067,Barbary Coast,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Scotch,Gin,Rum,Creme de Cacao,Light cream,,,,,,,,,";;;
;;;
11068,Baron Cocktail,Ordinary Drink,Alcoholic,Stir all ingredients (except lemon wedge) with ice and strain into a cocktail glass. Add the lemon wedge and serve.,,Dry Vermouth,Sweet Vermouth,Triple sec,Gin,Lemon,,,,,,,,,;;;
;;;
11069,Barrier Breaker,Ordinary Drink,Alcoholic,Pour all of the ingreedients into an Irish coffee glass filled with crushed ice. Stir well.,,Dark rum,Galliano,Dark Creme de Cacao,Coffee,Ice,,,,,,,,,;;;
;;;
"11070,Barton Special,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."",,Applejack,Gin,Scotch,,,,,,,,,,,";;;
;;;
"11071,Basic Bill,Ordinary Drink,Alcoholic,""In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."",,Añejo rum,Dubonnet Rouge,Grand Marnier,Bitters,,,,,,,,,,";;;
;;;
11072,Batida Abacaxi,Ordinary Drink,Alcoholic,Place all of the ingredients into a blender. Blend well. Pour into a wine glass.,,Cachaca,Pineapple,Sugar,Ice,,,,,,,,,,;;;
;;;
11073,Batida Mango,Ordinary Drink,Alcoholic,Place all of the ingredients into a blender. Blend well. Pour into a wine glass.,,Cachaca,Mango,Sugar,Ice,,,,,,,,,,;;;
;;;
11074,Batida Morango,Ordinary Drink,Alcoholic,Place all of the ingredients into a blender. Blend well. Pour into a wine glass.,,Cachaca,Strawberries,Sugar,Ice,,,,,,,,,,;;;
;;;
"11075,Beachcomber,Ordinary Drink,Alcoholic,""Place sugar in a saucer. Rub the rim of a cocktail glass with lime wedge and dip glass into sugar to coat rim thoroughly, reserve lime. In a shaker half-filled with ice cubes, combine rum, maraschino liqueur, cherry brandy, and lime juice. Shake well."",,Sugar,Lime,Light rum,Maraschino liqueur,Cherry brandy,Lime juice,,,,,,,,";;;
;;;
"11076,Beadlestone Cocktail,Ordinary Drink,Alcoholic,""Stir ingredients with ice, strain into a cocktail glass, and serve."",,Dry Vermouth,Scotch,,,,,,,,,,,,";;;
;;;
"11077,Beal's Cocktail,Ordinary Drink,Alcoholic,""Stir all ingredients with ice, strain into a cocktail glass, and serve."",,Dry Vermouth,Sweet Vermouth,Scotch,,,,,,,,,,,";;;
;;;
"11078,Beauty Spot Cocktail,Ordinary Drink,Alcoholic,""Pour a dash of grenadine in a cocktail glass. Shake remaining ingredients with ice, strain into glass over grenadine, and serve."",,Sweet Vermouth,Dry Vermouth,Gin,Orange juice,Grenadine,,,,,,,,,";;;
;;;
"11079,Bee Stinger,Ordinary Drink,Alcoholic,""Shake ingredients with ice, strain into a cocktail glass, and serve."",,Blackberry brandy,White Creme de Menthe,,,,,,,,,,,,";;;
;;;
"11080,Belles Of St. Mary's,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Gin,Triple sec,Apricot brandy,Lemon juice,,,,,,,,,,";;;
;;;
"11081,Bengal,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Brandy,Maraschino liqueur,Triple sec,Pineapple juice,Bitters,,,,,,,,,";;;
;;;
"11082,Bennett Cocktail,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Gin,Lime,Powdered sugar,Orange bitters,,,,,,,,,,";;;
;;;
11083,Bentley,Ordinary Drink,Alcoholic,Stir Calvados and Dubonnet with cracked ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,,Calvados,Dubonnet Rouge,Lemon peel,,,,,,,,,,,;;;
;;;
